               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11921,            0.042326,            0.027634,           0.0012275,            0.075326,          0.00073578,          0.00027738,             0.10805,            0.034919,            0.025738,           0.0032456,           0.0032456,            0.070789
                   1,             0.11568,            0.045583,            0.026498,           0.0014478,            0.087281,          0.00095871,          0.00027351,             0.10667,            0.036085,            0.025458,           0.0065138,           0.0065138,            0.040724
                   2,             0.11097,            0.047936,            0.024071,           0.0010805,            0.063177,          0.00077871,          0.00021309,             0.10802,            0.035277,            0.023937,            0.009716,            0.009716,            0.010593
                   3,             0.10542,            0.049775,            0.018659,              0.5433,            0.077396,            0.019486,           0.0046376,            0.095154,            0.038122,            0.015926,            0.009703,            0.009703,            0.009703
                   4,            0.098473,            0.050986,            0.015888,             0.52554,            0.030713,           0.0078225,           0.0015222,            0.099097,            0.070486,            0.015868,            0.009703,            0.009703,            0.009703
                   5,            0.091219,             0.05066,            0.015339,             0.54434,            0.061425,             0.01675,           0.0040295,            0.092661,            0.067036,            0.016585,            0.009604,            0.009604,            0.009604
                   6,            0.086178,            0.052038,            0.015328,             0.62055,             0.14681,            0.084152,            0.024442,            0.080163,            0.043125,            0.013341,            0.009505,            0.009505,            0.009505
                   7,            0.084139,            0.050285,            0.014376,             0.63701,             0.17138,             0.10025,            0.037792,            0.078858,            0.049521,            0.013083,            0.009406,            0.009406,            0.009406
                   8,            0.079448,            0.047568,            0.013943,             0.72056,             0.18366,             0.16252,            0.051878,            0.071596,            0.038636,             0.01346,            0.009307,            0.009307,            0.009307
                   9,             0.07744,            0.048722,            0.014349,             0.71777,             0.25553,              0.2103,            0.084154,            0.066238,            0.038731,            0.012029,            0.009208,            0.009208,            0.009208
                  10,            0.073967,            0.046508,            0.013936,             0.78728,              0.2629,             0.25301,            0.094473,            0.062199,            0.038512,            0.011062,            0.009109,            0.009109,            0.009109
                  11,            0.072213,            0.046232,            0.013797,             0.82817,              0.2663,             0.27672,             0.12342,            0.058036,              0.0338,            0.011225,             0.00901,             0.00901,             0.00901
                  12,            0.071049,             0.04608,            0.012938,             0.81337,             0.28624,             0.28981,             0.10446,            0.059644,            0.032455,            0.011196,            0.008911,            0.008911,            0.008911
                  13,            0.066115,            0.041683,             0.01338,             0.79748,             0.30098,             0.31597,             0.12894,            0.056991,            0.032213,            0.010483,            0.008812,            0.008812,            0.008812
                  14,            0.066544,              0.0394,            0.012155,             0.82289,             0.28624,             0.33875,             0.16342,            0.053176,            0.030927,            0.010677,            0.008713,            0.008713,            0.008713
                  15,             0.06532,            0.042348,            0.013167,             0.82454,             0.27088,             0.28805,             0.11788,            0.059615,            0.035703,             0.01147,            0.008614,            0.008614,            0.008614
                  16,            0.065555,            0.043734,            0.012812,             0.47767,             0.43777,             0.42819,             0.20449,            0.051381,            0.029898,           0.0099229,            0.008515,            0.008515,            0.008515
                  17,            0.063056,            0.040152,             0.01222,             0.49241,             0.41657,             0.40644,             0.17356,            0.052398,            0.029872,            0.010404,            0.008416,            0.008416,            0.008416
                  18,            0.063162,            0.040504,            0.012183,             0.50277,             0.42706,             0.43708,             0.20326,            0.049178,            0.030571,           0.0091336,            0.008317,            0.008317,            0.008317
                  19,             0.06081,            0.039951,             0.01026,             0.48154,             0.43974,              0.3946,             0.17836,            0.053436,            0.030392,           0.0088848,            0.008218,            0.008218,            0.008218
                  20,            0.061138,            0.040237,            0.010144,             0.56706,             0.51043,             0.50495,             0.23629,            0.047146,            0.029063,           0.0073884,            0.008119,            0.008119,            0.008119
                  21,            0.057207,            0.039824,           0.0094798,             0.57319,             0.51187,             0.50035,             0.20666,            0.050043,            0.029216,           0.0069302,             0.00802,             0.00802,             0.00802
                  22,            0.059284,            0.038361,           0.0093979,             0.71888,             0.49391,             0.54308,             0.23565,            0.048219,            0.027874,           0.0063183,            0.007921,            0.007921,            0.007921
                  23,            0.058842,            0.039903,           0.0082823,             0.67038,              0.4959,             0.53062,             0.22934,            0.049138,            0.031666,           0.0070675,            0.007822,            0.007822,            0.007822
                  24,            0.058536,            0.038693,           0.0084407,             0.67464,              0.5439,             0.56809,             0.28079,            0.045144,            0.027212,           0.0061099,            0.007723,            0.007723,            0.007723
                  25,            0.056178,            0.038562,           0.0076394,             0.67287,             0.49699,             0.53225,              0.2549,            0.047573,            0.028036,           0.0086427,            0.007624,            0.007624,            0.007624
                  26,            0.056459,            0.036056,           0.0078287,             0.67183,             0.52189,             0.56109,             0.26662,            0.046598,             0.02727,           0.0055669,            0.007525,            0.007525,            0.007525
                  27,            0.055209,            0.038151,           0.0075191,             0.68666,             0.53842,             0.55602,             0.26229,            0.047684,            0.027666,           0.0056523,            0.007426,            0.007426,            0.007426
                  28,            0.055248,            0.037559,           0.0071246,             0.69133,             0.53388,             0.56535,             0.28639,            0.044466,            0.027337,           0.0053215,            0.007327,            0.007327,            0.007327
