               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10785,            0.042008,            0.027097,          0.00098151,            0.054928,          0.00059177,          0.00017742,             0.10513,            0.046363,             0.02688,           0.0033111,           0.0033111,              0.0702
                   1,            0.096971,            0.046154,            0.022827,             0.53038,            0.034146,            0.010738,           0.0030472,             0.10161,            0.069117,            0.030574,           0.0065787,           0.0065787,            0.040134
                   2,             0.08318,            0.044694,            0.017742,             0.51888,            0.066551,           0.0093205,           0.0028444,            0.088956,            0.098837,            0.031063,           0.0097802,           0.0097802,            0.010002
                   3,            0.074409,            0.041535,            0.016581,             0.72255,             0.16202,             0.18145,            0.066661,            0.068724,            0.043504,            0.023248,            0.009703,            0.009703,            0.009703
                   4,            0.066939,            0.039226,            0.015083,             0.50023,             0.19473,             0.15911,            0.043232,            0.073702,            0.038601,            0.021042,            0.009703,            0.009703,            0.009703
                   5,            0.062053,            0.037995,            0.013793,             0.43517,             0.36686,             0.34719,             0.12657,            0.060553,            0.039771,            0.017156,            0.009604,            0.009604,            0.009604
                   6,            0.059061,            0.037608,            0.012065,             0.53899,             0.38787,             0.41521,             0.16384,            0.056797,            0.036487,            0.015658,            0.009505,            0.009505,            0.009505
                   7,            0.057203,            0.035807,            0.010727,             0.56758,             0.42602,              0.4586,             0.17682,            0.055427,            0.035075,            0.014702,            0.009406,            0.009406,            0.009406
                   8,            0.054961,            0.035547,            0.010206,             0.59548,             0.44358,             0.48537,              0.1919,            0.054493,            0.035416,            0.012029,            0.009307,            0.009307,            0.009307
                   9,            0.053746,            0.034527,           0.0095922,             0.59377,             0.48727,              0.5061,             0.18776,            0.054004,            0.034274,             0.01123,            0.009208,            0.009208,            0.009208
                  10,            0.052075,            0.034276,           0.0093737,             0.62599,             0.45369,              0.4969,             0.18415,            0.053753,            0.034433,             0.01142,            0.009109,            0.009109,            0.009109
                  11,            0.051615,            0.033573,           0.0092227,             0.67304,             0.49751,             0.54358,             0.22659,            0.051561,            0.034526,            0.010397,             0.00901,             0.00901,             0.00901
                  12,            0.050303,            0.033523,           0.0087549,             0.69093,             0.48063,             0.53569,             0.20298,             0.05235,            0.033558,            0.012082,            0.008911,            0.008911,            0.008911
                  13,            0.049661,            0.033045,           0.0085588,             0.64946,             0.52164,             0.55727,             0.22704,             0.05007,             0.03304,             0.01019,            0.008812,            0.008812,            0.008812
                  14,            0.049409,             0.03253,           0.0084203,             0.66952,             0.49772,             0.54881,             0.20467,            0.052273,            0.034178,            0.010192,            0.008713,            0.008713,            0.008713
